,tweet_id,screen_name,timestamp,text,likes,retweets,replies,positif,negatif,sentimen
0,1079908816664244224,UMMcampus,2019-01-01 01:15:00,"['strengthening', 'interfaith', 'tolerance', 'kaca', 'visits', 'teresia', 'foundation', 'batu']",3,0,0,"['strengthening', 'tolerance']",[],Positif
1,1079954367065669632,UMMcampus,2019-01-01 04:16:00,"['strengthen', 'branding', 'gresik', 'typical', 'food', 'with', 'food', 'photography']",4,4,0,['strengthen'],[],Positif
2,1079985069035610112,UMMcampus,2019-01-01 06:18:00,"['year', 'batu', 'mayor', 'sociology', 'holds', 'dialogue', 'with', 'society']",0,0,0,[],[],Netral
3,1080009658172039168,YuniarDwi_R,2019-01-01 07:55:42,"['panggil', 'arap']",0,0,0,[],[],Netral
4,1080111915156725760,lilianawlr,2019-01-01 14:42:02,['hiyaaaa'],0,0,0,[],[],Netral
5,1080116334527037445,rozikinmshobrie,2019-01-01 14:59:36,"['hoax', 'nyata', 'konfirmasi']",0,0,0,[],['hoax'],Negatif
6,1080308294067998721,UMMcampus,2019-01-02 03:42:23,"['kirim', 'karya', 'foto', 'baik', 'putar', 'laboratorium', 'laboratorium', 'terap', 'universitas', 'muhammadiyah', 'malang', 'ikut', 'photo', 'contest', 'akhir', 'tahun', 'instagram']",13,3,1,"['karya', 'baik']",[],Positif
7,1081358066212171777,UMMcampus,2019-01-05 01:13:48,"['semangat', 'pagi', 'gimana', 'uji', 'akhir', 'semester']",12,5,7,['semangat'],[],Positif
8,1081359289426489344,DhonaTito,2019-01-05 01:18:39,"['alhamdulillah', 'lancar', 'holiday', 'coming', 'padahal', 'teliti']",0,0,0,"['alhamdulillah', 'lancar', 'teliti']",[],Positif
9,1081369453433040896,C_Arifin07,2019-01-05 01:59:03,['rusunawa'],5,2,1,[],[],Netral
10,1081369957336674304,Ndyaku,2019-01-05 02:01:03,['monggo'],0,0,0,[],[],Netral
11,1081370118028849152,Ndyaku,2019-01-05 02:01:41,"['bagus', 'sekali']",0,0,1,['bagus'],[],Positif
12,1081385458955735040,bbbbaall,2019-01-05 03:02:39,['semrawut'],0,0,0,[],['semrawut'],Negatif
13,1081390817271402496,C_Arifin07,2019-01-05 03:23:56,"['bagus', 'kalo', 'cerah', 'pagi', 'bagus']",0,0,0,"['bagus', 'cerah', 'bagus']",[],Positif
14,1081417431745064960,drpdiyan1997,2019-01-05 05:09:42,['uasikin'],0,0,0,[],[],Netral
15,1081454168991162369,biaaabeooo,2019-01-05 07:35:40,"['usah', 'sombong', 'kamu']",0,0,0,[],['sombong'],Negatif
16,1081546115651035144,majalahSM,2019-01-05 13:41:02,"['tunggu', 'partisipasi', 'lanjut', 'hadiah', 'lebih', 'tarik', 'mungkin', 'ayahanda', 'support', 'beasiswa', 'penuh']",3,1,0,"['hadiah', 'support', 'beasiswa']","['mungkin', 'penuh']",Positif
17,1081569178501271554,skin_lovers,2019-01-05 15:12:41,['ngikut'],1,0,1,[],[],Netral
18,1081572601686704128,Iswara_Bagas,2019-01-05 15:26:17,"['turuku', 'miring', 'mbah']",0,0,0,[],['miring'],Negatif
19,1081615829249093632,FajarArisanto,2019-01-05 18:18:03,"['udah', 'lalu', 'kamu', 'wkwkka']",0,0,0,[],[],Netral
20,1081647916484194304,Ndyaku,2019-01-05 20:25:33,"['wihhhh', 'jelas', 'sekali', 'putri', 'tidur']",0,0,0,['jelas'],[],Positif
21,1081815062904360963,nammanura,2019-01-06 07:29:44,"['kamu', 'ritwit', 'doong']",0,0,0,[],[],Netral
22,1082104297830006785,UMMcampus,2019-01-07 02:39:03,"['mimin', 'tetep', 'sini']",0,0,0,[],[],Netral
23,1082227648057622528,UMMcampus,2019-01-07 10:49:12,"['siap', 'jadi', 'bagi', 'merah', 'kampus', 'putih', 'universitas', 'muhammadiyah', 'malang', 'buka', 'daftar', 'terima', 'mahasiswa', 'baru', 'mulai', 'januari', 'pasti', 'diri', 'daftar', 'ikut', 'terima', 'catat', 'tanggal', 'penting']",15,13,3,"['siap', 'terima', 'baru', 'pasti', 'terima', 'penting']",[],Positif
24,1082228128112472071,UMMcampus,2019-01-07 10:51:07,"['syahdu', 'senja', 'senja', 'gin', 'reply', 'tweet', 'foto', 'senja', 'tambah', 'hashtag']",3,2,2,[],[],Netral
25,1082238044818657283,nirwana_ellen,2019-01-07 11:30:31,"['lebih', 'update', 'dong', 'twitter', 'hehehe']",0,0,1,[],[],Netral
26,1082260402874937345,C_Arifin07,2019-01-07 12:59:22,['rusunawa'],0,0,1,[],[],Netral
27,1082491427211231233,UMMcampus,2019-01-08 04:17:22,"['nyata', 'inovasi', 'kacamata', 'sandang', 'tunanetra', 'tahun', 'lalu', 'inovasi', 'paling', 'kamu', 'ingat']",2,2,0,"['inovasi', 'inovasi']",[],Positif
28,1082521075936718848,UMMcampus,2019-01-08 06:15:11,"['kaleidoskop', 'november']",2,0,0,[],[],Netral
29,1082838553761959936,UMMcampus,2019-01-09 03:16:44,"['besok', 'semhas', 'semangat', 'yaaa', 'jangan', 'lupa', 'baca', 'artikel', 'biar', 'skripsi', 'ngga', 'bikin', 'stres']",1,0,0,['semangat'],"['lupa', 'stres']",Negatif
30,1082838646556831746,UMMcampus,2019-01-09 03:17:06,"['alhamdulillah', 'semoga', 'hasil', 'baik']",0,0,1,"['alhamdulillah', 'semoga', 'baik']",[],Positif
31,1082838863423229952,UMMcampus,2019-01-09 03:17:57,"['kayak', 'anisya', 'udah', 'ahli', 'banget', 'makanya', 'main', 'twitter', 'kalau', 'instagram', 'ummcampus', 'udah', 'follow']",0,0,1,['ahli'],[],Positif
32,1082860767798546432,UMMcampus,2019-01-09 04:45:00,"['teknologi', 'dosen', 'bantu', 'tani', 'kentang', 'pasok', 'benih', 'kualitas']",18,4,1,"['bantu', 'kualitas']",[],Positif
