tweet_id,screen_name,timestamp,text,likes,retweets,replies
1079908816664244224,UMMcampus,2019-01-01 01:15:00,"['strengthening', 'interfaith', 'tolerance', 'kaca', 'visits', 'teresia', 'foundation', 'batu']",3,0,0
1079954367065669632,UMMcampus,2019-01-01 04:16:00,"['strengthen', 'branding', 'gresik', 'typical', 'food', 'with', 'food', 'photography']",4,4,0
1079985069035610112,UMMcampus,2019-01-01 06:18:00,"['year', 'batu', 'mayor', 'sociology', 'holds', 'dialogue', 'with', 'society']",0,0,0
1080009658172039168,YuniarDwi_R,2019-01-01 07:55:42,"['panggil', 'arap']",0,0,0
1080111915156725760,lilianawlr,2019-01-01 14:42:02,['hiyaaaa'],0,0,0
1080116334527037445,rozikinmshobrie,2019-01-01 14:59:36,"['hoax', 'nyata', 'konfirmasi']",0,0,0
1080308294067998721,UMMcampus,2019-01-02 03:42:23,"['kirim', 'karya', 'foto', 'baik', 'putar', 'laboratorium', 'laboratorium', 'terap', 'universitas', 'muhammadiyah', 'malang', 'ikut', 'photo', 'contest', 'akhir', 'tahun', 'instagram']",13,3,1
1081358066212171777,UMMcampus,2019-01-05 01:13:48,"['semangat', 'pagi', 'gimana', 'uji', 'akhir', 'semester']",12,5,7
1081359289426489344,DhonaTito,2019-01-05 01:18:39,"['alhamdulillah', 'lancaaarrr', 'holiday', 'coming', 'padahal', 'teliti']",0,0,0
1081369453433040896,C_Arifin07,2019-01-05 01:59:03,['rusunawa'],5,2,1
1081369957336674304,Ndyaku,2019-01-05 02:01:03,['monggo'],0,0,0
1081370118028849152,Ndyaku,2019-01-05 02:01:41,"['bagus', 'sekali']",0,0,1
1081385458955735040,bbbbaall,2019-01-05 03:02:39,['semrawud'],0,0,0
1081390817271402496,C_Arifin07,2019-01-05 03:23:56,"['bagus', 'kalo', 'cerah', 'pagi', 'bagus']",0,0,0
1081417431745064960,drpdiyan1997,2019-01-05 05:09:42,['uasikin'],0,0,0
1081454168991162369,biaaabeooo,2019-01-05 07:35:40,"['usah', 'sombong', 'kamu']",0,0,0
1081546115651035144,majalahSM,2019-01-05 13:41:02,"['tunggu', 'partisipasi', 'lanjut', 'hadiah', 'lebih', 'tarik', 'mungkin', 'ayahanda', 'support', 'beasiswa', 'penuh']",3,1,0
1081569178501271554,skin_lovers,2019-01-05 15:12:41,['ngikut'],1,0,1
1081572601686704128,Iswara_Bagas,2019-01-05 15:26:17,"['turuku', 'miring', 'mbah']",0,0,0
1081615829249093632,FajarArisanto,2019-01-05 18:18:03,"['udah', 'lalu', 'kamu', 'wkwkka']",0,0,0
1081647916484194304,Ndyaku,2019-01-05 20:25:33,"['wihhhh', 'jelas', 'sekali', 'putri', 'tidur']",0,0,0
1081815062904360963,nammanura,2019-01-06 07:29:44,"['kamu', 'ritwit', 'doong']",0,0,0
1082104297830006785,UMMcampus,2019-01-07 02:39:03,"['mimin', 'tetep', 'sini']",0,0,0
1082227648057622528,UMMcampus,2019-01-07 10:49:12,"['siap', 'jadi', 'bagi', 'merah', 'kampus', 'putih', 'universitas', 'muhammadiyah', 'malang', 'buka', 'daftar', 'terima', 'mahasiswa', 'baru', 'mulai', 'januari', 'pasti', 'diri', 'daftar', 'ikut', 'terima', 'catat', 'tanggal', 'penting']",15,13,3
1082228128112472071,UMMcampus,2019-01-07 10:51:07,"['syahdu', 'senja', 'senja', 'gin', 'reply', 'tweet', 'foto', 'senja', 'tambah', 'hashtag']",3,2,2
1082238044818657283,nirwana_ellen,2019-01-07 11:30:31,"['lebih', 'update', 'dong', 'twitter', 'hehehe']",0,0,1
1082260402874937345,C_Arifin07,2019-01-07 12:59:22,['rusunawa'],0,0,1
